page_url,link_text,pdf_url
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-02,https://drive.google.com/file/d/1GpLeHNWVF9bFxeBHpeW4BB2KfoKToa1y/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-03,https://drive.google.com/file/d/1eo2A1ZtT9yEMCWpvVBSA7lt6qZmxvE0T/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-04,https://drive.google.com/file/d/1CMKklLTD0OoNzVixI4C-u1fth1_SJ-y4/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-05,https://drive.google.com/file/d/1AEwNhSbh5TR9iKcZWaHsGaYJJsKZlaOA/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-06,https://drive.google.com/file/d/1aRGLnmYJG1JSUCEpj9nEajJez3nK-zjS/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-07,https://drive.google.com/file/d/1S9c6RbHEWc1CnzqxuUANVniAKuNUVYvH/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-08,https://drive.google.com/file/d/1xuWP17qwp4sl4s-oGM0v97CH3TDPIJWA/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-09,https://drive.google.com/file/d/1oORu06P4yFbEZBx7W3hf6cDjwc-lQhKs/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-10,https://drive.google.com/file/d/1djNTFRlhTh_AwSyOa9ZuB5A5omqUNpnY/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-11,https://drive.google.com/file/d/1s5Tin-GpRGSltFEZEy-kASR1A6aQ7WUD/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-12,https://drive.google.com/file/d/1rzrEYCT_48tnpGn6UwsfVB8PO6h60Ex_/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-13,https://drive.google.com/file/d/1nhliscf903h6W9plbxUgvuiiG6n5-qdJ/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-14,https://drive.google.com/file/d/1Az2lPSuAZrJ6eulgBbRYk8xzjPfgVzSY/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-15,https://drive.google.com/file/d/1Yu6NWo1dWBtGwc1sSMggs6R3Ip72MyjF/view?usp=sharing
